id,title,artist,popularity,year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
23DDayTw24Vsbk5zsxxWuI,Tumi Nijer Mukhei Bolle Jedin,Manna Dey,Kind of Popular,1982,No-dance,Low Energy,Non-enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Negative,Fast,Medium,Simple
7BNMinpHA5z7JORsL18So5,O Amar Mon Jamunar Ange Ange,Manna Dey,Kind of Popular,2000,Mid-dance,Low Energy,Non-enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
3orS5s7p81GwovbBG5jVMG,Char Deyaler Modhye Nanan Drishyake,Manna Dey,Not Popular,2000,Mid-dance,Low Energy,Enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Positive,Medium,Medium,Simple
7ghhwb595uCwFEWwxgwLOf,Sei To Abar Kachhe Ele,Manna Dey,Not Popular,2000,No-dance,Low Energy,Enharmonic,Normal,No Speech,Acoustic,Instrumental,Recorded,Positive,Slow,Medium,Simple
7frSv3tuUFXXhVjk5aLjs1,Sudhu Ekdin Bhalobasa,Manna Dey,Not Popular,2000,No-dance,Low Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
7uIHc74CxcE5RKY0prIsAR,Sabai To Sukhi Hote Chay,Manna Dey,Not Popular,1984,No-dance,Low Energy,Non-enharmonic,Quiet,No Speech,Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
31KCCqZarYojg5g3KNcgFC,Ei Kule Ami Aar Oi Kule Tumi,Manna Dey,Kind of Popular,2000,Mid-dance,Low Energy,Enharmonic,Quiet,No Speech,Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
1e2WgZcGJZvR824ZwnfaQs,O Tui Lal Paharir Deshe Ja,Bhabani Ray,Kind of Popular,2019,No-dance,High Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Fast,Medium,Simple
1anqpfy4wCvheKeLdsfSOA,Kalo Jole Kuchla Tole,Tanmay Kar,Not Popular,2021,No-dance,High Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Fast,Medium,Simple
6kdWmbCo5bpiOHLpu61deU,Age Ki Sundor din kataitam,Pallab Mandal,Not Popular,2018,No-dance,High Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Medium,Medium,Simple
1ZiuSdDbbxCnC8EunOyqXC,Golemale Gole Male Pirit Koiro Na,Purna Das Baul,Not Popular,1987,Mid-dance,Low Energy,Enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Positive,Medium,Medium,Simple
5KYEdtgl8iSPxi1TSGFxnb,Mone Kori Assam Jabo,Tanmay Kar and Friends,Not Popular,2021,Mid-dance,Low Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Fast,Medium,Simple
1c3nVpONuqrdLZIOkH1w2n,Chol Mini Assam Jabo,Dohar,Kind of Popular,2022,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Fast,Medium,Simple
7JMk8e2u6ZOPMtCPT9K0h6,Loke Bole O Bole Re,Borno Chakroborty,Kind of Popular,2021,Mid-dance,Low Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
6u84ejQrnhaq2XcWQ8exv5,Nesha Lagilo,Iman Chakraborty,Popular,2019,No-dance,Low Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
5mZVXGOEt1hMYySrqDCt9T,Bala Nacho To Dekhi,Iman Chakraborty,Popular,2022,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
